Name                                              Project       Compat             Latest             Kind         Platform
----                                              -------       ------             ------             ----         --------
aho-corasick                                      1.0.2         1.1.3              1.1.3              Normal       ---
aho-corasick->memchr                              2.5.0         2.7.4              2.7.4              Normal       ---
aho-corasick->memchr                              2.5.0         2.7.4              Removed            Normal       ---
aho-corasick->memchr                              2.5.0         Removed            Removed            Normal       ---
android_system_properties->libc                   0.2.155       0.2.156            0.2.156            Normal       ---
arbitrary                                         1.3.0         1.3.2              1.3.2              Normal       ---
arbitrary->derive_arbitrary                       1.3.1         1.3.2              1.3.2              Normal       ---
atty->hermit-abi                                  0.1.19        ---                Removed            Normal       cfg(target_os = "hermit")
atty->libc                                        0.2.155       0.2.156            Removed            Normal       cfg(unix)
atty->winapi                                      0.3.9         ---                Removed            Normal       cfg(windows)
bstr->memchr                                      2.5.0         2.7.4              2.7.4              Normal       ---
bstr->serde                                       1.0.180       1.0.208            1.0.208            Normal       ---
cc->jobserver                                     0.1.26        0.1.32             0.1.32             Normal       ---
cc->jobserver                                     0.1.26        Removed            Removed            Normal       ---
cc->libc                                          0.2.155       0.2.156            0.2.156            Normal       cfg(unix)
cc->libc                                          0.2.155       Removed            Removed            Normal       cfg(unix)
chrono->iana-time-zone                            0.1.57        0.1.60             0.1.60             Normal       cfg(unix)
chrono->num-traits                                0.2.16        0.2.19             0.2.19             Normal       ---
chrono->winapi                                    0.3.9         Removed            Removed            Normal       cfg(windows)
chrono-tz->chrono                                 0.4.26        0.4.38             0.4.38             Normal       ---
chrono-tz->chrono-tz-build                        0.0.2         0.3.0              0.3.0              Build        ---
chrono-tz->phf                                    0.10.1        0.11.2             0.11.2             Normal       ---
chrono-tz-build->parse-zoneinfo                   0.3.0         0.3.1              0.3.1              Normal       ---
chrono-tz-build->phf                              0.10.1        0.11.2             0.11.2             Normal       ---
chrono-tz-build->phf_codegen                      0.10.0        0.11.2             0.11.2             Normal       ---
clap                                              3.2.25        ---                4.5.16             Normal       ---
clap->atty                                        0.2.14        ---                Removed            Normal       ---
clap->bitflags                                    1.3.2         ---                Removed            Normal       ---
clap->clap_lex                                    0.2.4         ---                Removed            Normal       ---
clap->indexmap                                    1.9.3         ---                Removed            Normal       ---
clap->once_cell                                   1.18.0        1.19.0             Removed            Normal       ---
clap->strsim                                      0.10.0        ---                Removed            Normal       ---
clap->termcolor                                   1.2.0         1.4.1              Removed            Normal       ---
clap->terminal_size                               0.2.6         ---                Removed            Normal       ---
clap->textwrap                                    0.16.0        0.16.1             Removed            Normal       ---
clap_lex->os_str_bytes                            6.5.1         6.6.1              Removed            Normal       ---
colored                                           2.0.4         2.1.0              2.1.0              Normal       ---
colored->is-terminal                              0.4.9         Removed            Removed            Normal       ---
colored->lazy_static                              1.4.0         1.5.0              1.5.0              Normal       ---
cpufeatures->libc                                 0.2.155       0.2.156            0.2.156            Normal       aarch64-linux-android
crossbeam-channel                                 0.5.8         0.5.13             0.5.13             Normal       ---
crossbeam-channel->cfg-if                         1.0.0         Removed            Removed            Normal       ---
crossbeam-channel->crossbeam-utils                0.8.16        0.8.20             0.8.20             Normal       ---
